iter	MultiClass
0	2.154491852
1	2.057744686
2	1.972162543
3	1.899567508
4	1.854110089
5	1.774178697
6	1.726620891
7	1.679353352
8	1.624949482
9	1.588392184
10	1.541502191
11	1.507677283
12	1.46300002
13	1.419044807
14	1.392487264
15	1.359339535
16	1.325872237
17	1.299593704
18	1.266183197
19	1.237068439
20	1.216302906
21	1.191051789
22	1.171928425
23	1.155697921
24	1.134035128
25	1.112345343
26	1.095519124
27	1.077259885
28	1.060333502
29	1.045232248
30	1.029768087
31	1.021469623
32	1.007337047
33	0.9943541725
34	0.9833992921
35	0.9732141434
36	0.9584440281
37	0.9450410733
38	0.931702563
39	0.91979352
40	0.9086181051
41	0.8997807099
42	0.8885274866
43	0.8779413108
44	0.8678814851
45	0.8532063034
46	0.8413976629
47	0.8294852796
48	0.8200353025
49	0.8141952914
50	0.8062462589
51	0.8023625749
52	0.7921805807
53	0.783538079
54	0.7747440358
55	0.7668668525
56	0.7617003915
57	0.7552677291
58	0.7483242828
59	0.7403857543
60	0.7318077256
61	0.7250388319
62	0.7167932881
63	0.7125613373
64	0.7054102987
65	0.7000640802
66	0.6936119854
67	0.6872102846
68	0.6781196224
69	0.671887231
70	0.6638871455
71	0.6565818654
72	0.6515867033
73	0.6484362731
74	0.6454254506
75	0.6396817069
76	0.633284437
77	0.6324687788
78	0.6283324046
79	0.6223730243
80	0.6208033045
81	0.61687014
82	0.6109934478
83	0.6079236461
84	0.603709658
85	0.598209894
86	0.5921374942
87	0.5877249409
88	0.582374098
89	0.5779234103
90	0.5734910258
91	0.5714217872
92	0.5694472881
93	0.5644194909
94	0.560712967
95	0.5563466787
96	0.5521188195
97	0.5486623946
98	0.5449753036
99	0.5387450358
100	0.5350282724
101	0.5316859448
102	0.5270963169
103	0.522903729
104	0.5191220764
105	0.5148863854
106	0.5103009705
107	0.5069219827
108	0.5045725128
109	0.5015524999
110	0.4998843625
111	0.496004992
112	0.4926427979
113	0.490102028
114	0.4837246842
115	0.4806279063
116	0.4773752142
117	0.4754768585
118	0.4727894221
119	0.4683171553
120	0.4640520802
121	0.4614613513
122	0.4588660574
123	0.4550686164
124	0.4507799797
125	0.448117591
126	0.4457522572
127	0.4419265703
128	0.4382865186
129	0.4348021295
130	0.4319265607
131	0.4288709075
132	0.4268030361
133	0.4243233814
134	0.4211274916
135	0.4167476343
136	0.4111293496
137	0.4070675852
138	0.4045908704
139	0.401533657
140	0.4001133088
141	0.3970522251
142	0.3950252549
143	0.3920201839
144	0.3892466744
145	0.3876724202
146	0.3858049643
147	0.3842158972
148	0.3817871947
149	0.378809508
150	0.3768449377
151	0.3747177196
152	0.3736668108
153	0.3721312715
154	0.3696203415
155	0.3677946935
156	0.3654234779
157	0.3646619885
158	0.3619049354
159	0.3599974754
160	0.3579835418
161	0.3547763908
162	0.3533497268
163	0.3512077095
164	0.3491475426
165	0.3479010038
166	0.3463129535
167	0.3439305324
168	0.3424808663
169	0.3374764048
170	0.3361665519
171	0.3350214722
172	0.3322763403
173	0.3307019265
174	0.3284326006
175	0.3274307382
176	0.3252489425
177	0.3233257596
178	0.3212589015
179	0.319900226
180	0.3183955637
181	0.3169908285
182	0.3145513057
183	0.3123809667
184	0.3112303179
185	0.3092997607
186	0.3067360943
187	0.3038458007
188	0.3029118849
189	0.3009498208
190	0.2990338603
191	0.2971822549
192	0.2959700626
193	0.2942538015
194	0.2927089674
195	0.2917340892
196	0.2897106
197	0.2884786438
198	0.2873596624
199	0.2862139724
