iter	Passed	Remaining
0	14	2961
1	22	2225
2	28	1865
3	34	1687
4	40	1577
5	46	1503
6	53	1467
7	59	1436
8	66	1416
9	73	1395
10	79	1374
11	86	1355
12	93	1342
13	99	1326
14	106	1308
15	112	1295
16	119	1285
17	125	1270
18	132	1258
19	138	1245
20	144	1232
21	151	1223
22	157	1215
23	164	1209
24	172	1204
25	179	1199
26	186	1196
27	193	1191
28	201	1189
29	209	1188
30	218	1190
31	227	1193
32	237	1200
33	246	1201
34	255	1206
35	266	1213
36	276	1216
37	286	1220
38	295	1221
39	305	1222
40	316	1226
41	326	1226
42	335	1226
43	346	1228
44	357	1231
45	367	1228
46	377	1229
47	388	1229
48	397	1226
49	407	1222
50	418	1222
51	429	1222
52	441	1223
53	452	1223
54	463	1221
55	473	1218
56	485	1218
57	496	1215
58	506	1209
59	516	1204
60	525	1197
61	535	1192
62	545	1186
63	554	1177
64	563	1170
65	572	1163
66	581	1154
67	591	1148
68	600	1140
69	609	1132
70	618	1124
71	629	1118
72	639	1112
73	648	1104
74	657	1095
75	666	1087
76	675	1079
77	684	1070
78	693	1062
79	702	1053
80	711	1045
81	720	1036
82	729	1028
83	738	1019
84	747	1010
85	755	1002
86	765	993
87	774	985
88	783	976
89	791	967
90	800	959
91	809	950
92	818	941
93	828	934
94	838	926
95	847	918
96	857	910
97	866	901
98	875	892
99	883	883
100	892	875
101	901	866
102	911	857
103	919	848
104	928	840
105	937	831
106	946	822
107	955	813
108	963	804
109	972	795
110	982	787
111	992	779
112	1000	770
113	1009	761
114	1018	753
115	1028	744
116	1039	737
117	1049	728
118	1059	721
119	1070	713
120	1080	705
121	1088	696
122	1097	687
123	1106	678
124	1115	669
125	1125	661
126	1135	652
127	1143	643
128	1152	634
129	1161	625
130	1170	616
131	1179	607
132	1188	598
133	1196	589
134	1205	580
135	1214	571
136	1223	562
137	1233	553
138	1243	545
139	1252	536
140	1261	527
141	1270	518
142	1279	509
143	1288	500
144	1296	491
145	1305	482
146	1313	473
147	1322	464
148	1331	455
149	1340	446
150	1348	437
151	1357	428
152	1366	419
153	1373	410
154	1381	401
155	1390	392
156	1397	382
157	1405	373
158	1413	364
159	1421	355
160	1430	346
161	1439	337
162	1449	328
163	1457	319
164	1466	310
165	1474	301
166	1483	293
167	1491	284
168	1501	275
169	1509	266
170	1518	257
171	1526	248
172	1535	239
173	1544	230
174	1551	221
175	1560	212
176	1570	204
177	1579	195
178	1587	186
179	1595	177
180	1604	168
181	1613	159
182	1622	150
183	1632	141
184	1642	133
185	1651	124
186	1660	115
187	1669	106
188	1678	97
189	1686	88
190	1695	79
191	1704	71
192	1713	62
193	1721	53
194	1731	44
195	1740	35
196	1748	26
197	1756	17
198	1766	8
199	1775	0
